years_of_experience,salary
5,3062
1,2257
9,3944
7,3420
9,3927
5,3168
7,3580
5,3055
9,3937
7,3569
10,4030
5,3144
7,3460
2,2420
10,4132
9,3818
8,3631
8,3605
7,3405
6,3224
9,3856
1,2309
7,3520
4,2829
4,2875
3,2712
4,2953
6,3242
2,2569
2,2503
4,2828
4,2979
5,3136
2,2506
5,3142
1,2393
7,3554
6,3308
8,3783
4,2923
5,3102
7,3530
7,3552
10,4153
7,3472
8,3757
2,2566
7,3440
2,2574
6,3279
5,3118
7,3578
9,3932
6,3205
3,2692
4,2927
7,3562
6,3319
3,2793
8,3730
6,3329
2,2441
6,3300
5,3004
8,3682
2,2485
3,2655
9,3926
3,2695
2,2448
10,4191
9,3979
7,3590
3,2665
3,2720
4,2909
1,2366
4,2862
7,3533
8,3759
3,2710
9,3813
6,3354
2,2562
8,3723
9,3852
4,2931
8,3687
7,3422
10,4149
5,3186
6,3340
2,2574
4,2887
5,3126
3,2708
9,3801
2,2447
5,3089
4,2949
